ethnicity,year,e_value
East Indian,2014,0.811
African,2014,1.744
Portuguese,2014,1.603
Amerindian,2014,0.645
Chinese,2014,2.315
Other,2014,0.617
Mixed,2014,1
African/Black,2006,1.259
Amerindian,2006,0.84
East Indian,2006,0.576
Chinese,2006,3.098
Portuguese,2006,2.136
White,2006,59.837
Mixed,2006,1
